date,ticker,sector,open,high,low,close,volume,source,return_1d,return_5d,return_20d,close_norm_20d,rsi_14_norm,macd_diff_norm,bb_pband,volume_ratio_20d,atr_norm,sentiment_score,news_count,sentiment_score_3d,news_count_3d,positive_count,negative_count,neutral_count,positive_count_3d,negative_count_3d,neutral_count_3d,label
2023-09-12,AAPL,Technology,177.25,177.88,172.64,174.1,90370200,yfinance,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011889718552555963
2023-09-13,AAPL,Technology,174.3,175.08,171.81,172.03,84267900,yfinance,-0.0118897185525559,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087775388013718
2023-09-14,AAPL,Technology,171.83,173.9,171.41,173.54,60895800,yfinance,0.0087775388013717,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0041488993891898055
2023-09-15,AAPL,Technology,174.28,174.29,171.65,172.82,109259500,yfinance,-0.0041488993891898,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016954056243490376
2023-09-18,AAPL,Technology,174.28,177.14,173.97,175.75,67257600,yfinance,0.0169540562434904,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006145092460882006
2023-09-19,AAPL,Technology,175.3,177.39,174.92,176.83,51826900,yfinance,0.0061450924608819,0.0156806433084435,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01996267601651304
2023-09-20,AAPL,Technology,177.02,177.45,173.21,173.3,58436200,yfinance,-0.019962676016513,0.0073824332965179,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008886324293133413
2023-09-21,AAPL,Technology,172.37,174.1,171.69,171.76,63149100,yfinance,-0.0088863242931334,-0.0102570012677192,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004948765719608889
2023-09-22,AAPL,Technology,172.49,174.87,171.88,172.61,56725400,yfinance,0.0049487657196087,-0.0012151371369053,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073576270204506215
2023-09-25,AAPL,Technology,172.02,174.76,171.97,173.88,46172700,yfinance,0.0073576270204507,-0.0106401137980085,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02340694731999076
2023-09-26,AAPL,Technology,172.64,173.01,169.52,169.81,64588900,yfinance,-0.0234069473199907,-0.039699146072499,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008892291384488491
2023-09-27,AAPL,Technology,170.46,170.88,166.94,168.3,66921800,yfinance,-0.0088922913844884,-0.0288517022504327,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001544860368389726
2023-09-28,AAPL,Technology,167.22,169.88,165.53,168.56,56294400,yfinance,0.0015448603683896,-0.0186306474149976,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030256288561935863
2023-09-29,AAPL,Technology,169.87,170.91,168.21,169.07,51861100,yfinance,0.0030256288561936,-0.0205086611436187,,,,,,,0.0204184234763284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014845921807535455
