date,ticker,sector,open,high,low,close,volume,source,return_1d,return_5d,return_20d,close_norm_20d,rsi_14_norm,macd_diff_norm,bb_pband,volume_ratio_20d,atr_norm
2023-09-12,AAPL,Technology,177.25,177.88,172.64,174.1,90370200,yfinance,,,,,,,,,
2023-09-13,AAPL,Technology,174.3,175.08,171.81,172.03,84267900,yfinance,-0.011889718552555939,,,,,,,,
2023-09-14,AAPL,Technology,171.83,173.9,171.41,173.54,60895800,yfinance,0.008777538801371776,,,,,,,,
2023-09-15,AAPL,Technology,174.28,174.29,171.65,172.82,109259500,yfinance,-0.004148899389189831,,,,,,,,
2023-09-18,AAPL,Technology,174.28,177.14,173.97,175.75,67257600,yfinance,0.016954056243490445,,,,,,,,
2023-09-19,AAPL,Technology,175.3,177.39,174.92,176.83,51826900,yfinance,0.006145092460881907,0.015680643308443543,,,,,,,
2023-09-20,AAPL,Technology,177.02,177.45,173.21,173.3,58436200,yfinance,-0.019962676016513026,0.007382433296517998,,,,,,,
2023-09-21,AAPL,Technology,172.37,174.1,171.69,171.76,63149100,yfinance,-0.008886324293133407,-0.010257001267719223,,,,,,,
2023-09-22,AAPL,Technology,172.49,174.87,171.88,172.61,56725400,yfinance,0.004948765719608783,-0.0012151371369053532,,,,,,,
2023-09-25,AAPL,Technology,172.02,174.76,171.97,173.88,46172700,yfinance,0.00735762702045073,-0.010640113798008555,,,,,,,
2023-09-26,AAPL,Technology,172.64,173.01,169.52,169.81,64588900,yfinance,-0.023406947319990712,-0.039699146072499025,,,,,,,
2023-09-27,AAPL,Technology,170.46,170.88,166.94,168.3,66921800,yfinance,-0.008892291384488438,-0.028851702250432765,,,,,,,
2023-09-28,AAPL,Technology,167.22,169.88,165.53,168.56,56294400,yfinance,0.0015448603683896334,-0.018630647414997648,,,,,,,
2023-09-29,AAPL,Technology,169.87,170.91,168.21,169.07,51861100,yfinance,0.0030256288561936184,-0.02050866114361871,,,,,,,0.020418423476328468
2023-10-02,AAPL,Technology,169.08,172.12,168.79,171.58,52164500,yfinance,0.014845921807535412,-0.013227513227513144,,,0.4482758620689659,,,,0.019324596606331054
2023-10-03,AAPL,Technology,170.11,171.46,168.69,170.25,49594600,yfinance,-0.00775148618720134,0.002591131264354285,,,0.4623200677392041,,,,0.019316131739039212
2023-10-04,AAPL,Technology,168.95,172.03,168.83,171.49,53020300,yfinance,0.007283406754772459,0.018954248366013005,,,0.45610278372591057,,,,0.019472189132227594
2023-10-05,AAPL,Technology,171.62,173.26,170.52,172.72,48527900,yfinance,0.0071724298792932295,0.024679639297579437,,,0.49790444258172684,,,,0.019374875934625793
2023-10-06,AAPL,Technology,171.63,175.77,171.02,175.27,57266700,yfinance,0.014763779527559029,0.03667120127757739,,,0.4897785349233393,,,,0.019268231055758846
2023-10-09,AAPL,Technology,174.6,176.81,173.6,176.75,42390800,yfinance,0.008444114794317281,0.03013171698333128,,1.717566797359888,0.4983249581239529,,0.9293916993399728,0.6887256727763448,0.019405940594059385
2023-10-10,AAPL,Technology,175.87,177.47,175.73,176.16,43698000,yfinance,-0.0033380480905234045,0.034713656387665104,0.011832280298678999,1.3775038258075303,0.5682903533906395,,0.8443759564518821,0.7379423856776559,0.01845724665888153
2023-10-11,AAPL,Technology,175.97,177.6,175.38,177.55,47551100,yfinance,0.007890554041780184,0.035337337454079076,0.03208742661163755,1.6747923642267544,0.6392496392496396,,0.918698091056689,0.8287027407467371,0.018236311702940815
2023-10-12,AAPL,Technology,177.82,180.06,176.8,178.45,56743100,yfinance,0.005068994649394476,0.0331750810560445,0.028293188890169407,1.7518793630229959,0.6401151631477923,,0.9379698407557495,0.9924888753392582,0.018204378977704827
2023-10-13,AAPL,Technology,179.15,179.66,175.91,176.62,51427100,yfinance,-0.010254973381899624,0.007702402008330056,0.02198819581067002,1.0529442455923346,0.5640186915887854,,0.7632360613980839,0.9474251629163918,0.01878124140608569
2023-10-16,AAPL,Technology,174.54,176.84,174.3,176.49,52517000,yfinance,-0.0007360434831842344,-0.001471004243281393,0.004210526315789442,0.9890588119381801,0.6912943871706763,,0.7472647029845456,0.9808217110900442,0.018058489756602954
2023-10-17,AAPL,Technology,174.44,176.19,172.62,174.94,57549400,yfinance,-0.008782367272933356,-0.006925522252497762,-0.010688231634903622,0.5406135731782908,0.6897142857142853,,0.6351533932945728,1.0690952007156604,0.018189910009962593
2023-10-18,AAPL,Technology,173.39,175.36,172.92,173.64,54764400,yfinance,-0.007431119240882689,-0.0220219656434808,0.0019619157530292863,0.11218420734215079,0.637001078748651,,0.5280460518355378,1.0208398827768828,0.01754039556389246
